,Year,STATECOUNTY,ACS_N_TOTAL_POP,ACS_N_MALE,ACS_N_FEMALE,ACS_N_RACE_TOTAL_POP,ACS_N_RACE_WHITE,ACS_N_RACE_BLACK,ACS_N_RACE_AMERIND,ACS_N_RACE_ASIAN,ACS_N_RACE_HAWPACISL,ACS_N_RACE_OTHER,ACS_N_RACE_TWOORMORE,ACS_N_ETHN_HISPLAT_Y,ACS_N_ETHN_HISPLAT_N,ACS_N_POVERTY_STAT,ACS_N_POVERTY_STAT_BELOW_100_PCT,ACS_N_POVERTY_STAT_100_TO_149_PCT,ACS_N_POVERTY_STAT_ABOVE_150_PCT,ACS_N_INSURED_NON_INST,ACS_N_INSURED_NON_INST_UNDER_19,ACS_N_INSURED_NON_INST_19_TO_64,ACS_N_INSURED_NON_INST_OVER_65,ACS_N_DISABIL_Y,ACS_N_DISABIL_N,STATE,COUNTY,ACS_MED_AGE,ACS_MED_AGE_M,ACS_MED_AGE_F,ACS_MED_INCOME_PAST_12MO,ACS_MED_INCOME
0,2018,17_1,66427,32481,33946,64717,61099,2653,278,536,42,109,910,969,60341,64100,7768,5412,50920,62125,15092,34999,12034,8693,53432,17,1,40.63333333333334,39.150000000000006,42.34444444444445,28665.0,28665.0
1,2018,17_101,16189,8919,7270,15639,13945,1445,39,43,0,167,376,616,13564,13624,2225,1246,10153,12744,3089,7121,2534,2664,10080,17,101,41.4,40.080000000000005,43.260000000000005,26428.2,26428.2
2,2018,17_103,34527,18326,16201,33421,30881,1754,92,210,62,422,722,2042,29513,30891,3376,2332,25183,30085,7074,17126,5885,4522,25563,17,103,43.54444444444445,43.400000000000006,44.62222222222223,29868.333333333332,29868.333333333332
3,2018,17_105,36324,18614,17710,35335,33373,1454,3,278,0,227,602,1600,32082,33515,4578,2770,26167,32381,7865,18318,6198,5126,27255,17,105,40.959999999999994,39.72,42.88,29200.4,29200.4
4,2018,17_107,29207,14183,15024,27931,25520,1849,44,218,1,299,968,989,24986,24816,2127,2369,20320,24585,5947,13884,4754,3838,20747,17,107,41.3875,39.3,43.775,29909.5,29909.5
5,2018,17_109,30875,15009,15866,29956,27656,1437,57,682,19,105,664,835,27002,26993,5910,2073,19010,28948,6155,18025,4768,3925,25023,17,109,37.309999999999995,35.370000000000005,38.86,22995.1,22995.1
6,2018,17_11,33381,16437,16944,32610,30965,311,48,289,3,994,398,2861,29147,32505,4021,2624,25860,31390,7389,17310,6691,4368,27022,17,11,44.08,42.449999999999996,45.2,28372.4,28372.4
7,2018,17_111,307789,153382,154407,299324,281709,4448,298,8289,69,4511,5579,38616,248922,302631,21190,13349,268092,290026,76747,172810,40469,27951,262075,17,111,40.26538461538461,39.19615384615384,41.228846153846156,37853.11538461538,37853.11538461538
8,2018,17_113,173219,84245,88974,167378,142328,14274,296,8826,13,1641,3850,8266,136260,163647,23954,11085,128608,165558,40548,104583,20427,15822,149736,17,113,35.54146341463413,35.017073170731706,36.08292682926829,34152.756097560974,34152.756097560974
9,2018,17_115,106512,51062,55450,99419,82366,15080,244,1130,7,592,5928,2316,80799,101791,16084,8805,76902,99018,24389,55315,19314,15364,83654,17,115,40.52352941176471,38.95,42.46764705882352,26710.058823529413,26710.058823529413
10,2018,17_117,45719,22602,23117,44667,43848,421,82,213,3,100,579,534,43525,44203,5830,3979,34394,43224,10216,24707,8301,6657,36567,17,117,43.70769230769231,42.41538461538461,44.70000000000001,28723.30769230769,28723.30769230769
11,2018,17_119,265670,129718,135952,257047,230029,22222,536,2588,57,1615,5539,8310,224205,256592,34893,19067,202632,249528,59815,147380,42333,35477,214051,17,119,40.36885245901638,38.67049180327869,41.72131147540984,30311.803278688523,30311.803278688523
12,2018,17_121,38084,18726,19358,36785,34871,1299,84,264,0,267,833,748,34377,36577,6431,4082,26064,34944,8864,19226,6854,6542,28402,17,121,41.11666666666667,39.69166666666667,43.18333333333333,25857.25,25857.25
13,2018,17_123,11794,5874,5920,11478,11307,49,18,37,18,49,119,338,11035,11206,1219,956,9031,11095,2466,6181,2448,1516,9579,17,123,45.96,44.94,47.54,29082.8,29082.8
14,2018,17_125,13778,6838,6940,13499,13289,130,14,27,0,39,182,147,13211,13420,2068,1472,9880,12926,2903,7178,2845,2324,10602,17,125,46.050000000000004,45.03333333333333,46.81666666666666,26848.0,26848.0
15,2018,17_127,14430,6794,7636,13947,13017,901,7,22,0,0,373,404,12655,14059,2535,1307,10217,13554,3329,7373,2852,2900,10654,17,127,44.2,43.650000000000006,44.099999999999994,22040.0,22040.0
16,2018,17_129,12367,6043,6324,12036,11850,58,16,65,38,9,154,185,11665,11972,1137,702,10133,11911,2900,6744,2267,1680,10231,17,129,43.46666666666667,42.9,44.166666666666664,36735.0,36735.0
17,2018,17_13,4858,2435,2423,4777,4717,17,1,41,0,1,56,57,4686,4665,593,370,3702,4640,1114,2472,1054,897,3743,17,13,46.8,46.5,48.150000000000006,29028.0,29028.0
18,2018,17_131,15693,7798,7895,15384,15107,92,16,63,0,106,195,364,14885,15346,1735,1024,12587,15095,3557,8418,3120,1916,13179,17,131,44.975,44.325,44.8,29894.75,29894.75
19,2018,17_133,33936,16691,17245,33275,32835,76,17,291,0,56,273,514,32387,33284,1590,1310,30384,32693,7933,19314,5446,3083,29610,17,133,43.300000000000004,41.983333333333334,44.46666666666667,38588.666666666664,38588.666666666664
20,2018,17_135,29009,15145,13864,28416,26773,1456,45,32,13,97,283,504,26392,25398,3990,2275,19133,24740,5962,13391,5387,3511,21229,17,135,44.0125,41.725,46.287499999999994,27157.5,27157.5
21,2018,17_137,34426,17298,17128,33507,30780,2345,73,261,1,47,598,816,30175,30697,4429,3019,23249,30922,6825,18083,6014,5108,25814,17,137,42.01,41.11,43.74,26403.6,26403.6
