,Unnamed: 0,Year,NAME,TRACT,STATE,COUNTY,ACS_GEO_ID,ACS_N_TOTAL_POP,ACS_N_MALE,ACS_N_FEMALE,ACS_MED_AGE,ACS_MED_AGE_M,ACS_MED_AGE_F,ACS_N_RACE_TOTAL_POP,ACS_N_RACE_WHITE,ACS_N_RACE_BLACK,ACS_N_RACE_AMERIND,ACS_N_RACE_ASIAN,ACS_N_RACE_HAWPACISL,ACS_N_RACE_OTHER,ACS_N_RACE_TWOORMORE,ACS_N_ETHN_HISPLAT_Y,ACS_N_ETHN_HISPLAT_N,ACS_MED_INCOME,ACS_MED_INCOME_PAST_12MO,ACS_N_POVERTY_STAT,ACS_N_POVERTY_STAT_BELOW_100_PCT,ACS_N_POVERTY_STAT_100_TO_149_PCT,ACS_N_POVERTY_STAT_ABOVE_150_PCT,ACS_N_INSURED_NON_INST,ACS_N_INSURED_NON_INST_UNDER_19,ACS_N_INSURED_NON_INST_19_TO_64,ACS_N_INSURED_NON_INST_OVER_65,ACS_N_DISABIL_Y,ACS_N_DISABIL_N,STATECOUNTY,N_BLACK,PCT_BLACK,N_NOT_WHITE,PCT_NOT_WHITE,N_UNINSURED,PCT_UNINSURED,N_POVERTY_STAT,PCT_POVERTY_STAT,N_DISABIL_STAT,PCT_DISABIL_STAT,COUNTY_NAME,bucket,bucket_idx,midpoint
3685,3685,2018,"Census Tract 2154, St. Louis County, Missouri",215400,29,189,1400000US29189215400,5317,2657,2660,46.6,46.3,46.6,5227,4692,126,40,244,0,125,48,68,4632,81827,81827,5275,91,0,5184,5295,1423,2838,1034,280,5015,29189,126,0.024105606,535,0.102353166,22,0.004137672,91,0.017251185,280,0.052880076,St. Louis County,"(81000, 88000]",1,84500
3831,3831,2018,"Census Tract 2216.27, St. Louis County, Missouri",221627,29,189,1400000US29189221627,6392,3150,3242,44.3,44,45.1,6088,5405,92,7,543,0,41,245,219,5233,81729,81729,6333,154,122,6057,6287,1996,3645,646,272,6015,29189,92,0.015111695,683,0.112187911,105,0.016426783,154,0.024317069,272,0.043263878,St. Louis County,"(81000, 88000]",2,84500
4283,4283,2018,"Census Tract 2175, St. Louis County, Missouri",217500,29,189,1400000US29189217500,5271,2570,2701,49.4,46.5,50.6,5228,4795,82,10,333,8,0,31,18,4777,76011,76011,5258,155,61,5042,5220,1292,2580,1348,394,4826,29189,82,0.015684774,433,0.082823259,51,0.009675583,155,0.029478889,394,0.075478927,St. Louis County,"(74000, 81000]",1,77500
3863,3863,2018,"Census Tract 2188, St. Louis County, Missouri",218800,29,189,1400000US29189218800,5888,2729,3159,43,43,43,5793,5649,86,0,58,0,0,0,118,5531,68452,68452,5775,191,132,5452,5760,1687,3149,924,276,5484,29189,86,0.014845503,144,0.024857587,128,0.02173913,191,0.033073593,276,0.047916667,St. Louis County,"(67000, 74000]",1,70500
3861,3861,2018,"Census Tract 2176, St. Louis County, Missouri",217600,29,189,1400000US29189217600,7156,3424,3732,48,48.1,47.9,6937,6604,25,0,300,0,8,143,147,6465,66051,66051,7047,294,19,6734,7016,1874,3501,1641,463,6553,29189,25,0.003603863,333,0.04800346,140,0.019564002,294,0.041719881,463,0.065992018,St. Louis County,"(60000, 67000]",2,63500
3726,3726,2018,"Census Tract 2177.01, St. Louis County, Missouri",217701,29,189,1400000US29189217701,4876,2421,2455,52,52,52,4805,4056,146,6,585,0,12,38,232,3888,64488,64488,4838,209,16,4613,4770,1115,2380,1275,322,4448,29189,146,0.030385016,749,0.155879292,106,0.02173913,209,0.043199669,322,0.067505241,St. Louis County,"(60000, 67000]",1,63500
4012,4012,2018,"Census Tract 2153.02, St. Louis County, Missouri",215302,29,189,1400000US29189215302,3414,1649,1765,49.4,47.9,49.7,3377,2852,125,0,400,0,0,6,53,2799,64008,64008,3383,97,78,3208,3339,855,1649,835,301,3038,29189,125,0.037015102,525,0.155463429,75,0.021968366,97,0.028672776,301,0.090146751,St. Louis County,"(60000, 67000]",6,63500
3999,3999,2018,"Census Tract 2180.12, St. Louis County, Missouri",218012,29,189,1400000US29189218012,4667,2365,2302,42.8,39.7,45.9,4534,4220,50,4,250,0,10,55,72,4173,62898,62898,4490,57,18,4415,4437,1244,2316,877,324,4113,29189,50,0.01102779,314,0.069254521,230,0.049282194,57,0.012694878,324,0.073022312,St. Louis County,"(60000, 67000]",4,63500
3998,3998,2018,"Census Tract 2164, St. Louis County, Missouri",216400,29,189,1400000US29189216400,5238,2431,2807,43,43.5,39.8,5057,4264,43,0,750,0,0,149,104,4160,60804,60804,5206,384,245,4577,5013,986,3084,943,219,4794,29189,43,0.008503065,793,0.156812339,225,0.042955326,384,0.073761045,219,0.043686415,St. Louis County,"(60000, 67000]",3,63500
4280,4280,2018,"Census Tract 2155, St. Louis County, Missouri",215500,29,189,1400000US29189215500,4401,2169,2232,44,43.5,44.3,4199,3332,256,16,572,0,23,175,72,3297,60518,60518,4364,55,64,4245,4194,1248,2189,757,321,3873,29189,256,0.060966897,867,0.206477733,207,0.047034765,55,0.012603116,321,0.076537911,St. Louis County,"(60000, 67000]",7,63500
4001,4001,2018,"Census Tract 2194, St. Louis County, Missouri",219400,29,189,1400000US29189219400,5912,2859,3053,39,38,40.1,5655,5525,97,0,16,0,17,197,56,5503,60346,60346,5852,56,63,5733,5773,1748,3202,823,378,5395,29189,97,0.017152962,130,0.022988506,139,0.023511502,56,0.009569378,378,0.065477222,St. Louis County,"(60000, 67000]",5,63500
3833,3833,2018,"Census Tract 2216.29, St. Louis County, Missouri",221629,29,189,1400000US29189221629,5367,2696,2671,43,42.6,44,5288,4521,103,9,631,4,20,15,108,4437,59025,59025,5299,160,165,4974,5349,1614,2945,790,322,5027,29189,103,0.019478064,767,0.145045386,18,0.003353829,160,0.030194376,322,0.060198168,St. Louis County,"(53000, 60000]",4,56500
3830,3830,2018,"Census Tract 2216.26, St. Louis County, Missouri",221626,29,189,1400000US29189221626,6217,3133,3084,44.8,45.6,43.7,6068,5744,74,5,245,0,0,109,213,5551,57115,57115,6167,43,96,6028,5941,1664,3329,948,369,5572,29189,74,0.012195122,324,0.053394858,276,0.044394402,43,0.006972596,369,0.062110756,St. Louis County,"(53000, 60000]",3,56500
4011,4011,2018,"Census Tract 2166, St. Louis County, Missouri",216600,29,189,1400000US29189216600,2036,987,1049,47.6,42.5,49.8,1973,1663,146,0,164,0,0,42,55,1608,56716,56716,1988,53,23,1912,1998,451,1123,424,164,1834,29189,146,0.073998986,310,0.157121135,38,0.018664047,53,0.02665996,164,0.082082082,St. Louis County,"(53000, 60000]",8,56500
3997,3997,2018,"Census Tract 2162, St. Louis County, Missouri",216200,29,189,1400000US29189216200,7702,3783,3919,39.2,35.6,40.8,7439,6116,733,35,529,7,19,148,172,5959,56029,56029,7576,587,340,6649,7523,1283,5099,1141,499,7024,29189,733,0.098534749,1323,0.177846485,179,0.023240717,587,0.077481521,499,0.066329922,St. Louis County,"(53000, 60000]",7,56500
3869,3869,2018,"Census Tract 2211, St. Louis County, Missouri",221100,29,189,1400000US29189221100,1889,938,951,44.3,39.6,48.6,1826,1730,72,0,24,0,0,19,25,1710,55278,55278,1845,46,15,1784,1804,450,974,380,98,1706,29189,72,0.039430449,96,0.052573932,85,0.044997353,46,0.024932249,98,0.054323725,St. Louis County,"(53000, 60000]",5,56500
3875,3875,2018,"Census Tract 2165, St. Louis County, Missouri",216500,29,189,1400000US29189216500,5329,2910,2419,41.7,37.6,47,5236,3963,804,22,447,0,0,35,126,3837,54623,54623,3989,147,17,3825,4004,775,2257,972,387,3617,29189,804,0.15355233,1273,0.243124523,1325,0.24863952,147,0.036851341,387,0.096653347,St. Louis County,"(53000, 60000]",6,56500
4298,4298,2018,"Census Tract 2152.02, St. Louis County, Missouri",215202,29,189,1400000US29189215202,6825,3152,3673,43.5,41.6,44.6,6726,5466,421,12,742,41,44,65,161,5349,53630,53630,6643,256,337,6050,6640,1423,3901,1316,630,6010,29189,421,0.062592923,1260,0.187332739,185,0.027106227,256,0.038536806,630,0.094879518,St. Louis County,"(53000, 60000]",9,56500
3638,3638,2018,"Census Tract 2153.01, St. Louis County, Missouri",215301,29,189,1400000US29189215301,4614,2328,2286,50.1,48,51.6,4386,3555,430,0,401,0,0,170,100,3496,53424,53424,4556,131,232,4193,4526,1050,2331,1145,609,3917,29189,430,0.098039216,831,0.189466484,88,0.019072388,131,0.028753292,609,0.134555899,St. Louis County,"(53000, 60000]",1,56500
3817,3817,2018,"Census Tract 2184.02, St. Louis County, Missouri",218402,29,189,1400000US29189218402,4660,2215,2445,40,39.3,40.4,4579,4372,38,0,49,0,120,20,121,4256,53311,53311,4576,142,80,4354,4535,1196,2524,815,271,4264,29189,38,0.008298755,207,0.045206377,125,0.026824034,142,0.031031469,271,0.059757442,St. Louis County,"(53000, 60000]",2,56500
