,Year,NAME,TRACT,STATE,COUNTY,ACS_GEO_ID,ACS_N_TOTAL_POP,ACS_N_MALE,ACS_N_FEMALE,ACS_MED_AGE,ACS_MED_AGE_M,ACS_MED_AGE_F,ACS_N_RACE_TOTAL_POP,ACS_N_RACE_WHITE,ACS_N_RACE_BLACK,ACS_N_RACE_AMERIND,ACS_N_RACE_ASIAN,ACS_N_RACE_HAWPACISL,ACS_N_RACE_OTHER,ACS_N_RACE_TWOORMORE,ACS_N_ETHN_HISPLAT_Y,ACS_N_ETHN_HISPLAT_N,ACS_MED_INCOME,ACS_MED_INCOME_PAST_12MO,ACS_N_POVERTY_STAT,ACS_N_POVERTY_STAT_BELOW_100_PCT,ACS_N_POVERTY_STAT_100_TO_149_PCT,ACS_N_POVERTY_STAT_ABOVE_150_PCT,ACS_N_INSURED_NON_INST,ACS_N_INSURED_NON_INST_UNDER_19,ACS_N_INSURED_NON_INST_19_TO_64,ACS_N_INSURED_NON_INST_OVER_65,ACS_N_DISABIL_Y,ACS_N_DISABIL_N
0,2018,"Census Tract 9561, Saline County, Illinois",956100,17,165,1400000US17165956100,2649,1217,1432,39.5,47.0,37.6,2552,2338,197,4,0,0,13,60,63,2300,23565.0,23565.0,2612,505,363,1744,2473,633,1255,585,598,1875
1,2018,"Census Tract 9557, Saline County, Illinois",955700,17,165,1400000US17165955700,2423,1222,1201,42.2,42.5,41.7,2392,2375,5,0,4,0,8,14,19,2364,26875.0,26875.0,2332,295,227,1810,2202,483,1246,473,463,1739
2,2018,"Census Tract 9559, Saline County, Illinois",955900,17,165,1400000US17165955900,2180,999,1181,47.2,40.8,52.0,2094,1978,39,0,69,8,0,60,74,1916,16549.0,16549.0,2011,584,299,1128,1975,399,1193,383,554,1421
3,2018,"Census Tract 8829, Will County, Illinois",882900,17,197,1400000US17197882900,2344,1143,1201,33.3,34.9,32.2,2219,1789,143,10,21,0,256,110,985,1199,26602.0,26602.0,2315,210,381,1724,2094,577,1308,209,250,1844
4,2018,"Census Tract 8830, Will County, Illinois",883000,17,197,1400000US17197883000,3759,1842,1917,42.0,34.4,45.8,3693,1992,1307,20,0,0,374,56,1098,1272,21376.0,21376.0,3257,396,263,2598,2809,826,1313,670,438,2371
5,2018,"Census Tract 8801.11, Will County, Illinois",880111,17,197,1400000US17197880111,3726,1991,1735,34.4,27.2,40.1,3518,1746,661,0,107,0,1004,186,1459,1283,28768.0,28768.0,3704,158,251,3295,3268,1035,1885,348,236,3032
6,2018,"Census Tract 8836.02, Will County, Illinois",883602,17,197,1400000US17197883602,5692,2628,3064,48.5,48.4,49.0,5519,4121,1206,0,122,0,70,127,267,4048,41679.0,41679.0,5627,254,450,4923,5572,805,3513,1254,531,5041
7,2018,"Census Tract 8838.03, Will County, Illinois",883803,17,197,1400000US17197883803,2756,1319,1437,34.9,35.9,33.8,2710,423,2133,0,40,6,108,46,197,368,30259.0,30259.0,2756,360,218,2178,2554,578,1744,232,266,2288
8,2018,"Census Tract 8817, Will County, Illinois",881700,17,197,1400000US17197881700,3375,1626,1749,42.7,38.3,46.2,3338,2807,230,24,28,20,229,19,702,2378,34135.0,34135.0,3357,308,142,2907,3191,632,2046,513,509,2682
9,2018,"Census Tract 8835.04, Will County, Illinois",883504,17,197,1400000US17197883504,5358,2628,2730,54.0,54.3,52.8,5261,4699,401,0,16,0,145,56,311,4533,47201.0,47201.0,5197,287,31,4879,5098,1062,2414,1622,825,4273
10,2018,"Census Tract 8837, Will County, Illinois",883700,17,197,1400000US17197883700,3204,1712,1492,38.0,36.5,40.9,3026,2488,394,0,0,0,144,158,474,2256,27875.0,27875.0,3182,553,400,2229,3001,739,1818,444,387,2614
11,2018,"Census Tract 8805.02, Will County, Illinois",880502,17,197,1400000US17197880502,5139,2532,2607,38.0,38.2,36.9,5045,4931,0,46,58,0,10,48,218,4723,32700.0,32700.0,5093,258,271,4564,4773,1194,3030,549,584,4189
12,2018,"Census Tract 8810.02, Will County, Illinois",881002,17,197,1400000US17197881002,5370,2858,2512,44.0,38.5,47.7,5207,5110,17,0,12,0,68,105,293,4990,40410.0,40410.0,5312,231,189,4892,5292,1287,3049,956,619,4673
13,2018,"Census Tract 8811.05, Will County, Illinois",881105,17,197,1400000US17197881105,6580,3481,3099,41.2,38.1,44.1,6423,6299,12,45,22,0,45,26,702,5701,53835.0,53835.0,6449,0,114,6335,6229,1510,3834,885,506,5723
14,2018,"Census Tract 8801.05, Will County, Illinois",880105,17,197,1400000US17197880105,7593,3781,3812,32.6,30.3,33.0,6466,3781,978,48,634,0,1025,974,1936,3029,31700.0,31700.0,7418,674,272,6472,6957,2277,3751,929,516,6441
15,2018,"Census Tract 8801.09, Will County, Illinois",880109,17,197,1400000US17197880109,5319,2624,2695,38.9,38.1,42.1,4984,2833,1348,10,249,0,544,228,831,2647,34740.0,34740.0,5212,412,128,4672,5162,1271,3198,693,382,4780
16,2018,"Census Tract 8801.12, Will County, Illinois",880112,17,197,1400000US17197880112,2206,1141,1065,36.9,35.6,38.4,2080,1154,402,0,128,0,396,124,596,983,37157.0,37157.0,2204,125,25,2054,2079,645,1207,227,178,1901
17,2018,"Census Tract 8801.13, Will County, Illinois",880113,17,197,1400000US17197880113,3780,1914,1866,33.6,31.9,39.3,3653,1177,1057,7,355,0,1057,86,1670,742,23611.0,23611.0,3739,560,369,2810,3024,1013,1769,242,282,2742
18,2018,"Census Tract 8818, Will County, Illinois",881800,17,197,1400000US17197881800,4132,1869,2263,28.5,29.3,27.5,3899,1886,1003,3,7,0,1000,116,1492,1511,24200.0,24200.0,3850,873,446,2531,3610,1405,1878,327,363,3247
19,2018,"Census Tract 3109, Cook County, Illinois",310900,17,31,1400000US17031310900,5391,2843,2548,30.6,31.6,29.8,5287,2630,59,21,50,0,2527,72,4706,511,25307.0,25307.0,5359,1365,903,3091,4483,1497,2458,528,321,4162
20,2018,"Census Tract 4205, Cook County, Illinois",420500,17,31,1400000US17031420500,1659,616,1043,45.0,45.3,43.9,1642,0,1620,0,22,0,0,17,99,0,19105.0,19105.0,1659,327,138,1194,1535,334,899,302,428,1107
21,2018,"Census Tract 4304, Cook County, Illinois",430400,17,31,1400000US17031430400,2756,1111,1645,35.2,31.4,36.7,2732,86,2646,0,0,0,0,24,0,86,22596.0,22596.0,2686,1053,215,1418,2547,871,1423,253,469,2078
22,2018,"Census Tract 4306, Cook County, Illinois",430600,17,31,1400000US17031430600,1920,770,1150,43.3,28.2,45.9,1828,98,1706,0,1,0,23,39,38,83,23578.0,23578.0,1867,348,374,1145,1830,414,1010,406,305,1525
23,2018,"Census Tract 4409, Cook County, Illinois",440900,17,31,1400000US17031440900,2547,993,1554,39.6,39.4,40.5,2429,2,2415,12,0,0,0,18,0,2,21310.0,21310.0,2447,595,439,1413,2279,639,1262,378,356,1923
24,2018,"Census Tract 4601, Cook County, Illinois",460100,17,31,1400000US17031460100,3424,1617,1807,33.6,26.8,42.0,3352,370,2818,0,62,0,102,41,443,35,19626.0,19626.0,3368,1245,562,1561,2973,922,1736,315,391,2582
25,2018,"Census Tract 4805, Cook County, Illinois",480500,17,31,1400000US17031480500,2938,1283,1655,42.3,39.8,43.6,2913,266,2597,0,8,0,42,25,315,46,22062.0,22062.0,2938,609,430,1899,2704,508,1741,455,570,2134
26,2018,"Census Tract 2831, Cook County, Illinois",283100,17,31,1400000US17031283100,3257,1602,1655,25.5,24.3,27.1,3119,785,1290,0,961,8,75,122,250,656,26610.0,26610.0,3241,1162,334,1745,3062,710,2194,158,138,2924
27,2018,"Census Tract 3007, Cook County, Illinois",300700,17,31,1400000US17031300700,4721,2463,2258,29.2,26.9,33.0,4680,2808,43,11,32,0,1786,10,4551,64,18999.0,18999.0,4665,1523,865,2277,3449,1619,1479,351,323,3126
28,2018,"Census Tract 3008, Cook County, Illinois",300800,17,31,1400000US17031300800,4070,2360,1710,26.6,25.0,28.9,3994,2358,0,0,0,0,1636,0,3954,40,17796.0,17796.0,3994,1658,957,1379,3126,1553,1255,318,335,2791
29,2018,"Census Tract 3406, Cook County, Illinois",340600,17,31,1400000US17031340600,1067,380,687,27.5,20.9,34.6,1008,2,1006,0,0,0,0,32,2,0,10960.0,10960.0,1040,632,268,140,990,381,428,181,185,805
30,2018,"Census Tract 3403, Cook County, Illinois",340300,17,31,1400000US17031340300,1837,822,1015,48.7,49.3,48.3,1819,364,24,0,1381,0,50,8,86,328,15916.0,15916.0,1827,614,359,854,1649,326,785,538,245,1404
31,2018,"Census Tract 3510, Cook County, Illinois",351000,17,31,1400000US17031351000,3711,1834,1877,39.5,31.2,48.4,3562,185,2762,0,615,0,0,149,15,170,40907.0,40907.0,3711,1105,217,2389,3244,225,2455,564,317,2927
32,2018,"Census Tract 8143, Cook County, Illinois",814300,17,31,1400000US17031814300,4916,2345,2571,28.6,30.3,25.1,4833,1848,172,158,14,0,2641,62,4603,242,20401.0,20401.0,4895,951,933,3011,3824,1724,1798,302,278,3546
33,2018,"Census Tract 8159, Cook County, Illinois",815900,17,31,1400000US17031815900,4823,2018,2805,41.6,39.5,43.8,4603,2520,1724,54,305,0,0,180,268,2409,40176.0,40176.0,4783,658,285,3840,4528,413,3295,820,499,4029
